Date;consumption
2020-09-01;5730.5517850000015
2020-09-11;5828.806887
2020-09-12;5052.896869
2020-09-27;7196.221334000001
2020-10-09;9728.250662
2020-10-23;9149.091809
2020-10-28;10593.648682
2020-10-30;8655.66642
2020-11-01;6799.515728
2020-11-08;9162.065752
2020-11-10;12594.531888
2020-11-12;11361.551689
2020-11-18;13029.761752
2020-11-23;14297.004747
2020-12-09;16402.357449
2020-12-14;14797.857552000001
2020-12-28;12606.276032
2021-01-01;12611.256101
2021-01-06;15725.031297
2021-01-07;16054.531633
2021-01-10;15641.406972
2021-01-13;16337.123613999998
2021-01-15;16726.716238999998
2021-01-17;14163.590885
2021-02-04;13708.513915
2021-02-11;19512.683150999997
2021-02-12;19329.046690000006
2021-02-16;15393.211165
2021-03-02;13469.775769999998
2021-03-03;12382.921235
2021-03-14;10325.923915
2021-03-17;13685.474753
2021-03-19;14214.939335
2021-03-21;11186.106455
2021-03-29;10550.435785
2019-01-01;10791.527149
2019-01-14;15045.917613
2019-01-16;16084.455745
2019-01-18;16809.857846000006
2019-01-26;15650.773375
2019-01-30;16850.880406
2019-02-01;16365.938723
2019-02-02;14495.567816
2019-02-03;14767.344506
2019-02-10;11678.938929
2019-02-18;15444.575277000002
2019-02-27;13980.223269
2019-02-28;11008.891328
2019-03-02;10775.17393
2019-03-05;12121.50697
2019-03-07;10460.392824
2019-03-10;9879.391547
2019-03-28;14607.525821
2019-03-30;8537.858740000001
2019-03-31;8017.0453560000005
2019-04-09;11211.227269
2019-04-10;10782.184683
2019-04-24;5746.185645000001
2019-04-28;9550.401785
2019-05-03;9968.304993000002
2019-05-07;12127.442526
2019-05-08;8559.329414000002
2019-05-12;8683.791764
2019-05-16;10413.357742
2019-05-23;8771.230388
2019-05-30;4803.510507
2019-06-02;4517.683107
2019-06-05;6221.373872
2019-06-06;6046.680825
2019-06-14;6978.266129000001
2019-06-21;7125.158095000001
2019-06-26;6529.583686
2019-06-28;6622.1651569999985
2019-06-29;5118.694404999999
2019-07-01;5919.2912289999995
2019-07-03;6243.21463
2019-07-10;6990.384942000001
2019-07-11;7089.252314
2019-07-15;7052.043059999999
2019-07-17;6940.105773
2019-07-20;5412.198445
2019-07-25;6341.023911
2019-07-29;6469.418062
2019-07-30;5301.886593
2019-08-09;4151.352588000001
2019-08-12;5035.259382
2019-08-28;6583.582929
2019-08-29;6921.572137
2019-09-06;7943.079381
2019-09-19;7839.478367000001
2019-09-21;6606.945875
2019-09-30;8187.242799
2019-10-03;10583.465987
2019-10-04;10102.742488
2019-10-05;8788.674246999999
2019-10-08;10287.808411
2019-10-19;8620.642429000001
2019-10-22;8968.548331
2019-10-23;8840.134974999999
2019-11-04;10681.193954
2019-11-07;13185.999210999998
2019-11-11;13433.821936000002
2019-11-15;15246.223265
2019-11-21;16391.374562
2019-11-26;13634.892921
2019-11-30;13962.328398
2019-12-06;17483.173713999997
2019-12-14;10793.483482
2019-12-15;11272.740641
2019-12-21;9965.367447
2019-12-27;12207.856453
2020-01-01;14262.661557
2020-01-03;13972.953430000001
2020-01-05;14073.760847
2020-01-06;16661.41644
2020-01-09;13422.641474000002
2020-01-12;12391.185181
2020-01-13;15286.653811000002
2020-01-18;14039.520646
2020-01-26;14419.813734000001
2020-01-27;14859.275872
2020-01-30;15470.172693999999
2020-02-01;8358.400409
2020-02-06;16672.635036
2020-02-17;11616.085431
2020-03-09;14211.9849
2020-03-19;9788.013888
2020-03-29;8488.591455
2020-03-31;11402.092819
2020-04-17;5225.3356859999985
2020-04-18;3823.227419
2020-04-21;5023.493949000001
2020-04-25;4037.529275
2020-04-26;4297.558945000002
2020-05-01;5268.824059000001
2020-05-04;6072.354118
2020-05-11;7203.557625
2020-05-14;8061.213620999999
2020-05-23;3642.0298880000014
2020-05-31;3490.60961
2020-06-01;5476.085029
2020-06-02;6446.785689
2020-06-07;6072.8799469999985
2020-06-08;7036.1011180000005
2020-06-09;7724.523961
2020-06-21;5333.675485999999
2020-06-30;5259.187225
2020-07-05;3746.102384
2020-07-06;4393.459377
2020-07-08;4633.031808000002
2020-07-18;3574.24099
2020-07-20;3893.7837299999997
2020-07-22;4252.464057
2020-07-27;3850.659753
2020-08-24;4066.072901
2020-08-26;5008.89757
2020-09-02;5688.852357
2020-09-05;4825.3419969999995
2020-09-06;5297.525748
2020-09-19;5216.527099999998
2020-10-04;6950.229701
2020-10-20;11951.026245000001
2020-10-25;7784.978784
2020-10-29;10245.919362
2020-11-04;11829.25768
2020-11-19;11136.460444
2020-11-24;14921.012255
2020-11-26;15276.514074
2020-11-27;15270.077709
2020-12-05;13364.904835
2020-12-10;16804.663828
2020-12-13;12800.004299
2020-12-20;11515.962393000002
2020-12-26;10950.488121
